UserID,Image,Strategy,TestID,Sub-Strategy,ML Level,Pass/Fail,Priority,Recommendation,Evidence Extract
Camille,ad_group.txt,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,approved_users.txt,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,macro settings.png,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,macros-blocked-internet.jpg,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,microsoft-has-blocked-macros-from-running.jpg,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,Office_macros_security_alert.png,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,Screenshot0 Unrelated.PNG,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,Screenshot1 AC-01 03 04.png,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,Screenshot2 AC-02.webp,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
Camille,Screenshot3 AC-01.jpeg,Restrict Admin Privileges,ML1-RA-01 to ML1-RA-08,,1,Fail,High,"- Enforce a formal, documented approval workflow for privileged access (ticket, justification, approver).
- Maintain an inventory of systems/applications requiring privileged access.
- Prevent privileged accounts from Internet access and from being used on standard desktops.
- Remove mailboxes from privileged accounts.
- Deny unprivileged logons to admin systems and prevent privilege escalation (UAC, remove runas paths).
- Restrict PowerShell Remoting to admins; keep WinRM appropriately configured.",
